Year ,Index
1948,53
1949,57
1950,49
1951,41
1952,43
1953,24
1954,40
1955,23
1956,53
1957,32
1958,26
1959,51
1960,43
1961,25
1962,72
1963,47
1964,37
1965,43
1966,50
1967,74
1968,37
1969,21
1970,45
1971,54
1972,55
1973,58
1974,98
1975,55
1976,47
1977,61
1978,39
1979,51
1980,31
1981,65
1982,81
1983,101
1984,69
1985,18
1986,99
1987,26
1988,48
1989,96
1990,158
1991,87
1992,58
1993,95
1994,105
1995,54
1996,41
1997,81
1998,82
1999,87
2000,74
2001,29
2002,59
2003,68
2004,44
2005,93
2006,73
2007,70
2008,77
2009,52